country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","12-04-2026 12:00:00",26.071318,91.87488,CO,22,111,52
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","12-04-2026 12:00:00",26.10887,91.589544,PM2.5,40,54,48
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","12-04-2026 12:00:00",26.10887,91.589544,OZONE,12,15,13
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","12-04-2026 12:00:00",26.187500,91.744194,CO,18,46,22
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","12-04-2026 12:00:00",26.349082,92.68449,SO2,7,13,11
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","12-04-2026 12:00:00",26.446912,91.439057,PM2.5,29,45,39
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","12-04-2026 12:00:00",16.5150833,80.5181667,NO2,11,21,16
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","12-04-2026 12:00:00",16.5150833,80.5181667,CO,10,16,12
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","12-04-2026 12:00:00",16.5150833,80.5181667,OZONE,8,98,22
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","12-04-2026 12:00:00",17.72,83.3,PM2.5,12,186,57
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","12-04-2026 12:00:00",17.72,83.3,CO,2,76,19
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","12-04-2026 12:00:00",26.349082,92.68449,PM2.5,33,82,52
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","12-04-2026 12:00:00",26.349082,92.68449,NO2,1,120,8
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","12-04-2026 12:00:00",26.446912,91.439057,PM10,31,49,42
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","12-04-2026 12:00:00",26.146529,87.454184,CO,62,106,87
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","12-04-2026 12:00:00",26.146529,87.454184,OZONE,10,11,10
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","12-04-2026 12:00:00",25.5626095,84.663264,OZONE,6,13,7
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","12-04-2026 12:00:00",24.75746,84.366208,NH3,1,3,2
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","12-04-2026 12:00:00",24.75746,84.366208,OZONE,18,70,26
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","12-04-2026 12:00:00",25.42742023,86.13886079,PM2.5,28,200,97
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","12-04-2026 12:00:00",25.42742023,86.13886079,PM10,75,134,103
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","12-04-2026 12:00:00",25.42742023,86.13886079,NH3,3,4,4
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","12-04-2026 12:00:00",26.80365,84.51954,PM2.5,12,62,33
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","12-04-2026 12:00:00",26.80365,84.51954,SO2,17,40,31
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","12-04-2026 12:00:00",25.567520,83.966379,NO2,9,10,9
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","12-04-2026 12:00:00",25.7808257,84.7446768,PM2.5,77,95,84
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","12-04-2026 12:00:00",25.7808257,84.7446768,PM10,66,91,75
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","12-04-2026 12:00:00",25.7808257,84.7446768,SO2,20,22,21
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","12-04-2026 12:00:00",24.792403,84.992416,PM2.5,30,90,62
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","12-04-2026 12:00:00",24.792403,84.992416,CO,2,104,22
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","12-04-2026 12:00:00",24.762518,84.982348,NO2,19,36,24
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","12-04-2026 12:00:00",25.697189,85.245900,PM2.5,108,311,230
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","12-04-2026 12:00:00",26.446912,91.439057,SO2,3,10,7
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","12-04-2026 12:00:00",26.446912,91.439057,OZONE,5,20,14
